歌单名,简介,歌曲名,艺人名,推荐语
我的2020年度音乐回忆,这是2020年度我在虾米上最爱的30首歌，它们凝结了过去一年的珍贵回忆，是四季的交响曲。2020实属不易，还好有音乐相伴朝夕。,,,
,,类似爱情,萧亚轩,
,,十九岁,赵雷,
,,Back,Infinite,
,,最熟悉的陌生人,萧亚轩,
,,原谅我一次,欢子,
,,"RINGA LINGA",太阳,
,,红玫瑰,陈奕迅,
,,那么爱你为什么,"黄品源 / 莫文蔚",
,,"잠은 안오고 배는 고프고","Nine Muses",
,,"Day By Day",T-ara,
,,Ballerino,Leessang,
,,分飞,徐怀钰,
,,사뿐사뿐,AOA,
,,成都,赵雷,
,,富士山下,陈奕迅,
,,酷爱,张敬轩,
,,荷花亭,高进,
,,好想你,朱主爱,
,,阿刁,赵雷,
,,温柔,五月天,
,,如果你也听说,张惠妹,
,,归去来,"胡兵 / 袁泉",
,,断点,张敬轩,
,,下雨天,南拳妈妈,
,,情歌,梁静茹,
,,答应不爱你,郑中基,
,,天下,张杰,
,,"Dancing King","EXO / 유재석",
,,爱如空气,孙俪,
,,我们的纪念,李雅微,
周杰伦和张学友,,,,
,,外婆,周杰伦,
,,告白气球,周杰伦,
,,回到过去,周杰伦,
,,最长的电影,周杰伦,
,,烟花易冷,周杰伦,
,,红尘客栈,周杰伦,
,,夜曲,周杰伦,
,,黑色毛衣,周杰伦,
,,轨迹,周杰伦,
,,枫,周杰伦,
,,明明就,周杰伦,
,,星晴,周杰伦,
,,给我一首歌的时间,周杰伦,
,,以父之名,周杰伦,
,,黑色幽默,周杰伦,
,,止战之殇,周杰伦,
,,超人不会飞,周杰伦,
,,反方向的钟,周杰伦,
,,龙拳,周杰伦,
,,飘移,周杰伦,
,,斗牛,周杰伦,
,,公公偏头痛,周杰伦,
,,红模仿,周杰伦,
,,乔克叔叔,周杰伦,
,,蛇舞,周杰伦,
,,安静,周杰伦,
,,嘻哈空姐,周杰伦,
,,爱在西元前,周杰伦,
,,以父之名,周杰伦,
,,天地一斗,"Kobe Bryant / 周杰伦",
,,我的地盘,周杰伦,
,,情书,张学友,
,,暧昧,王菲,
,,容易受伤的女人(粤),王菲,
,,暗涌,王菲,
,,爱与痛的边缘,王菲,
,,约定,王菲,
,,天与地,王菲,
,,"人间（Cover 王菲）",「么凹」,
,,可爱女人,周杰伦,
,,等你下课,"周杰伦 / 杨瑞代",
,,流浪诗人,"周杰伦 / 杨瑞代",
,,"容易受伤的女人 (国语版新歌)",王菲,
,,四面楚歌,周杰伦,
,,将军,周杰伦,
,,雨下一整晚,周杰伦,
,,乱舞春秋,周杰伦,
中文流行,,,,
,,海芋恋,萧敬腾,
,,巴黎23号,蒋一侨,
,,大鱼,周深,
,,好心分手,"卢巧音 / 王力宏",
,,"Thêm Một Lần Đau",HKT,
,,求佛,誓言,
,,错错错,"陈娟儿 / 六哲",
,,夜曲,周杰伦,
,,痒,黄龄,
,,白羊（Cover）,李瑨瑶,
,,其实怕选择,赵学而,
,,多远都要在一起,G.E.M.邓紫棋,
,,小宇,张震岳,
,,有没有,韦礼安,
,,带你去旅行,刘卓然,
,,原谅我一次,欢子,
,,再见,张震岳,
,,我们的时光,赵雷,
,,Papillon,王嘉尔,
,,给我一首歌的时间,周杰伦,
,,痴心绝对,李圣杰,
,,最熟悉的陌生人,萧亚轩,
,,红玫瑰,陈奕迅,
,,青春修炼手册,TFBOYS,
,,宠爱,TFBOYS,
,,无问,毛不易,
,,桃花凉,艾辰,
,,温柔,五月天,
,,给你们,张宇,
,,我还想她,艾辰,
,,不得不爱,"弦子 / 潘玮柏",
,,洋葱,杨宗纬,
,,那个男人,杨宗纬,
,,好想你,朱主爱,
,,十九岁,赵雷,
,,成都,赵雷,
,,当你孤单你会想起谁,张栋梁,
,,告白气球,周杰伦,
,,素颜,林嘉华,
,,"该死的温柔 (抒情版)",马天宇,
,,认真的雪,薛之谦,
,,忽然之间,莫文蔚,
,,阴天,莫文蔚,
,,电台情歌,莫文蔚,
,,荷花亭,高进,
,,背叛,曹格,
,,美丽的神话Ⅰ,"成龙 / 金喜善",
,,红装,徐良,
,,猜不透,丁当,
,,寒衣调,河图,
,,突然好想你,五月天,
,,天下,张杰,
,,用心良苦,张宇,
,,知足,五月天,
,,老人与海,海鸣威,
,,好久不见,陈奕迅,
,,一丝不挂,陈奕迅,
,,如果没有你,莫文蔚,
,,有点甜,"汪苏泷 / By2",
,,Drenched,曲婉婷,
,,情歌,梁静茹,
,,谁动了我的琴弦,周笔畅,
,,其实都没有,杨宗纬,
,,春风十里,周恩泽,
,,友情岁月,郑伊健,
,,手掌心,丁当,
,,花·心,周华健,
,,酷爱,张敬轩,
,,易燃易爆炸,陈粒,
,,友情岁月,陈小春,
,,爱的世界只有你,"乐凡 / 祁隆",
,,寂寞沙洲冷,周传雄,
,,相思,毛阿敏,
,,阿刁,赵雷,
,,富士山下,陈奕迅,
,,归去来,"胡兵 / 袁泉",
,,夜空中最亮的星,逃跑计划,
,,旅行的意义,陈绮贞,
,,"我真的受伤了 (国语)",王菀之,
,,飘雪,韩雪,
,,哭砂,张惠妹,
,,下一个天亮,郭静,
,,我可以抱你吗,张惠妹,
,,漂洋过海来看你,丁当,
,,残酷月光,林宥嘉,
,,思念是一种病,"蔡健雅 / 张震岳",
,,我不愿让你一个人,五月天,
,,独家记忆,陈小春,
,,如果你也听说,张惠妹,
,,下雨天,南拳妈妈,
,,七月七日晴,许慧欣,
,,答应不爱你,郑中基,
,,我们的纪念,李雅微,
,,分飞,徐怀钰,
,,偏爱,张芸京,
,,断点,张敬轩,
,,那么爱你为什么,"黄品源 / 莫文蔚",
,,爱如空气,孙俪,
,,你那么爱她,"李圣杰 / 林隆璇",
,,梁山伯与茱丽叶,"卓文萱 / 曹格",
,,外滩十八号,男才女貌,
,,类似爱情,萧亚轩,
,,有没有人告诉你,陈楚生,
,,如果这就是爱情,张靓颖,
,,放生,范逸臣,
,,123我爱你,新乐尘符,
,,我们都一样,张杰,
,,断桥残雪,南妮,
,,"Nothing's Gonna Change My Love For You",方大同,
,,有没有一首歌会让你想起我,周华健,
,,大地,Beyond,
,,寓言,张韶涵,
,,我愿意,王菲,
,,"我愿意 (国语)",陈晓东,
,,再见二丁目,杨千嬅,
,,晚秋,毛宁,
,,那片海,韩红,
,,愿得一人心,李行亮,
,,身骑白马,徐佳莹,
,,一起走过的日子,刘德华,
,,漫步人生路,邓丽君,
,,时间煮雨,吴亦凡,
,,恋爱达人,罗志祥,
,,第一次爱的人,王心凌,
,,如果·爱,张学友,
,,十字街头,"周迅 / 金城武",
,,狮子座,曾轶可,
,,答案（cover：杨坤、郭采洁）,王可鑫,
,,追光者,岑宁儿,
,,南方姑娘,赵雷,
,,成全,刘若英,
,,吻得太逼真,张敬轩,
,,起风了,买辣椒也用券,
,,岁月神偷,金玟岐,
,,说谎,林宥嘉,
,,逍遥叹,胡歌,
,,嘀答(吉它版),侃侃,
,,想把我唱给你听,"老狼 / 王婧",
,,金枝欲孽·咏叹调,徐美澜,
,,我要我们在一起,范晓萱,
,,突然想起你,萧亚轩,
,,夜三里,龙井说唱,
,,他不懂,张杰,
,,"i remember the...",颜培珊,
,,学猫叫,"小潘潘 / 小峰峰",
,,"人间（Cover 王菲）",「么凹」,
,,大城小爱,王力宏,
,,卡路里,火箭少女101,
,,离开地球表面,五月天,
,,没那么简单,黄小琥,
,,如果我们不曾相遇,五月天,
,,等你下课,"周杰伦 / 杨瑞代",
,,魔鬼中的天使,田馥甄,
,,如烟,五月天,
,,"123木头人 ",黑Girl,
,,苦茶,"棒棒堂 / 黑Girl",
,,秋天不回来,王强,
,,你怎么舍得我难过,黄品源,
,,玛丽,赵雷,
,,"再见 小时候",南拳妈妈,
,,千年之恋,丁当,
,,作曲家,李荣浩,
,,我想我是海,黄磊,
,,祝我生日快乐,温岚,
,,死不了,任贤齐,
,,偏爱,张芸京,
,,只要有你,"孙楠 / 那英",
,,我恨我痴心,刘德华,
,,护花使者,李克勤,
,,望乡,满文军,
,,小城大事,杨千嬅,
,,一江水,王若伊,
,,太多,陈冠蒲,
,,你爱我像谁,张卫健,
,,头顶一片天,马浚伟,
,,"好像掉进爱情海里（Cover 谷嘉诚/赵露思）",鹿马Lmua,
,,才华有限公司,金玟岐,
,,如果我变成回忆,Tank,
,,哑巴,刘维,
,,来日方长,"薛之谦 / 黄龄",
,,后会无期,G.E.M.邓紫棋,
